image_url,artwork_id,artist_id,title,artist,category,year,museum,material,genre,art_type,movement
http://commons.wikimedia.org/wiki/Special:FilePath/Courbet%20LAtelier%20du%20peintre.jpg?width=400,4c78b727877c,4211369afbd3,The Painter's Studio,Gustave Courbet,Painting,1850,Musée d'Orsay,oil paint,self-portrait,painting,Realism
http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20Gezicht%20op%20huizen%20in%20Delft%2C%20bekend%20als%20%27Het%20straatje%27%20-%20Google%20Art%20Project.jpg?width=400,a049ba853c7b,bbdeaf783d50,The Little Street,Johannes Vermeer,Painting,1657,Rijksmuseum,oil paint,cityscape,painting,Dutch Golden Age painting
http://commons.wikimedia.org/wiki/Special:FilePath/The%20Triumph%20of%20Death%20by%20Pieter%20Bruegel%20the%20Elder.jpg?width=400,4ef61c120107,97978697dae2,The Triumph of Death,Pieter Brueghel the Elder,Painting,1560,Museo del Prado,oil paint,genre art,painting,Dutch and Flemish Renaissance painting
http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Degas%20-%20In%20a%20Caf%C3%A9%20-%20Google%20Art%20Project%202.jpg?width=400,d9ddf1b9d01c,731ca64e8d77,L'Absinthe,Edgar Degas,Painting,1875-1876,Musée d'Orsay,oil paint,genre art,painting,Impressionism
http://commons.wikimedia.org/wiki/Special:FilePath/John%20Constable%20-%20The%20Hay%20Wain%20%281821%29.jpg?width=400,378e2eed997b,de979bc599de,The Hay Wain,John Constable,Painting,1821,National Gallery,oil paint,landscape painting,painting,Romanticism
http://commons.wikimedia.org/wiki/Special:FilePath/Whistlers%20Mother%20high%20res.jpg?width=400,a4daed7fd9df,4d4a54f4c469,Whistler's Mother,James McNeill Whistler,Painting,1871,Musée d'Orsay,oil paint,portrait,painting,Tonalism
http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%20attributed%20-%20Madonna%20Litta.jpg?width=400,29e981010192,4f9b6c6861b4,Madonna Litta,Leonardo da Vinci,Painting,1490,Hermitage Museum,tempera,religious art,painting,Italian Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20Vel%C3%A1zquez%20-%20Rokeby%20Venus.jpg?width=400,1321e98ddb54,c5ca99e07715,Rokeby Venus,Diego Velázquez,Painting,1644,National Gallery,oil paint,nude,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Velazquez-las%20hilanderas.jpg?width=400,8fba3d10338b,c5ca99e07715,Las Hilanderas,Diego Velázquez,Painting,1655,Museo del Prado,oil paint,genre art,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/La%20familia%20de%20Carlos%20IV%2C%20por%20Francisco%20de%20Goya.jpg?width=400,cbfad83fd1d2,632c129420ae,Charles IV of Spain and His Family,Francisco Goya,Painting,1800,Museo del Prado,oil paint,group portrait,painting,Romanticism
http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%2C%20Madonna%20del%20Cardellino%2C%201507%2C%20Uffizi.jpg?width=400,7f8b3899bd8b,84fc7720d5e7,Madonna of the Goldfinch,Raphael,Painting,1505,Uffizi Gallery,oil paint,religious art,painting,High Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Duchamp%20Fountaine.jpg?width=400,1bd86ce6e13a,fc2ca0e28454,Fountain,Marcel Duchamp,Painting,1917,Tate Modern,porcelain,art of sculpture,urinal,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Harmensz%20van%20Rijn%20-%20Return%20of%20the%20Prodigal%20Son%20-%20Google%20Art%20Project.jpg?width=400,012d346005c4,2302b94ee10c,The Return of the Prodigal Son,Rembrandt,Painting,1668,Hermitage Museum,oil paint,religious art,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Tondo%20Doni%2C%20por%20Miguel%20%C3%81ngel.jpg?width=400,f0e0937ed96a,0d46a3ff4160,Doni Tondo,Michelangelo,Painting,1500,Uffizi Gallery,oil paint,religious art,tondo,High Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Auguste%20Dominique%20Ingres%20-%20The%20Spring%20-%20Google%20Art%20Project%202.jpg?width=400,9817a708bf6a,29e5bb2ef4b8,The Source,Jean-Auguste-Dominique Ingres,Painting,1856,Musée d'Orsay,oil paint,nude,painting,Neoclassicism
http://commons.wikimedia.org/wiki/Special:FilePath/Supper%20at%20Emmaus-Caravaggio%20%281601%29.jpg?width=400,03b3c0d40e99,204f6137b921,Supper at Emmaus,Caravaggio,Painting,1601,National Gallery,oil paint,religious art,painting,Baroque
http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Auguste%20Dominique%20Ingres%20-%20The%20Spring%20-%20Google%20Art%20Project%202.jpg?width=400,d2d8d1fa5bc0,58723b2f250a,The Source,Alexandre Desgoffe,Painting,1856,Musée d'Orsay,oil paint,nude,painting,Neoclassicism
http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Auguste%20Dominique%20Ingres%20-%20The%20Spring%20-%20Google%20Art%20Project%202.jpg?width=400,1921dc69ab0d,7ab597c8bb62,The Source,Paul Balze,Painting,1856,Musée d'Orsay,oil paint,nude,painting,Neoclassicism
http://commons.wikimedia.org/wiki/Special:FilePath/Quintasordo.svg?width=400,fe4a1ced912b,632c129420ae,Black Paintings,Francisco Goya,Painting,1820,Museo del Prado,oil paint,Unknown,painting series,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Goya%20Maja%20ubrana2.jpg?width=400,176a53c72a96,632c129420ae,The Clothed Maja,Francisco Goya,Painting,1800,Museo del Prado,oil paint,portrait,painting,Unknown
http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20D%C3%BCrer%20-%20Melencolia%20I%20-%20Google%20Art%20Project%20%28427760%29.jpg?width=400,164852dc7e93,7cd388d03ab1,Melencolia I,Albrecht Dürer,Painting,1514,British Museum,laid paper,allegory,copper engraving print,German Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Harmensz.%20van%20Rijn%20026.jpg?width=400,dd3bafc55d51,2302b94ee10c,Danaë,Rembrandt,Painting,1636,Hermitage Museum,oil paint,nude,painting,Dutch Golden Age painting
http://commons.wikimedia.org/wiki/Special:FilePath/Death%20of%20the%20Virgin-Caravaggio%20%281606%29.jpg?width=400,750338456ee9,204f6137b921,Death of the Virgin,Caravaggio,Painting,1603-1604,Louvre Museum,oil paint,religious art,painting,Baroque
http://commons.wikimedia.org/wiki/Special:FilePath/El%20Descendimiento%2C%20by%20Rogier%20van%20der%20Weyden%2C%20from%20Prado%20in%20Google%20Earth.jpg?width=400,f9b992f42805,16ab1ab63ab8,The Descent from the Cross,Rogier van der Weyden,Painting,1440,Museo del Prado,oil paint,religious art,painting,Early Netherlandish painting
http://commons.wikimedia.org/wiki/Special:FilePath/View%20of%20Toledo%20MET%20DP349564.jpg?width=400,db5582e50de4,adc912503525,View of Toledo,El Greco,Painting,1596,Metropolitan Museum of Art,oil paint,landscape painting,painting,Mannerism
http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt-Belsazar.jpg?width=400,b3e1bed8eb13,2302b94ee10c,Belshazzar's Feast,Rembrandt,Painting,1636,National Gallery,oil paint,religious art,painting,Baroque
http://commons.wikimedia.org/wiki/Special:FilePath/Rodin%20Porte%20enfer.jpg?width=400,d0d2bb7fdd0a,eb2c4e6d069f,The Gates of Hell,Auguste Rodin,Painting,1880,Musée d'Orsay,gold,Unknown,group of casts,Impressionism
http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20-%20Medusa%20-%20Google%20Art%20Project.jpg?width=400,42ccf669f4ae,204f6137b921,Medusa,Caravaggio,Painting,1597,Uffizi Gallery,oil paint,mythological painting,tondo,Unknown
