image_url,artwork_id,title,artist,category,year,museum,material,genre,art_type
http://commons.wikimedia.org/wiki/Special:FilePath/Philips%20Wouwerman%20-%20The%20Hay%20Wagon%20-%20218%20-%20Mauritshuis.jpg?width=400,wikidata_49,The Hay Wagon,Philips Wouwerman,Painting,1650,,oil paint,landscape painting,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Nature%20morte%20aux%20livres%20-%20Triptyque%20de%20l%27Annonciation%20d%27Aix%20-%20Rijksmuseum.jpg?width=400,wikidata_50,Still Life with Books in a Niche,Barthélemy d'Eyck,Painting,1442,,oil paint,still life,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Salome%20met%20het%20hoofd%20van%20Johannes%20de%20Doper%20Rijksmuseum%20SK-C-1349.jpeg?width=400,wikidata_51,Salome with the Head of John the Baptist,Jacob Cornelisz van Oostsanen,Painting,1524,,oil paint,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Jacques%20Henner%20-%20The%20Chaste%20Susannah.jpg?width=400,wikidata_52,The Chaste Susannah,Jean-Jacques Henner,Painting,1864-1865,,oil paint,nude,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Cezanne%20-%20Dahlias%20dans%20un%20grand%20vase%20de%20Delft.jpg?width=400,wikidata_53,Dahlias in a Delft vase,Paul Cézanne,Painting,1873,,oil paint,floral painting,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Michalowski%20-%20La%20bataille%20de%20Somosierra%20%281808%29.jpg?width=400,wikidata_54,Q29643928,Piotr Michałowski,Painting,1850,,oil paint,Unknown,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20van%20Dyck%20-%20Portrait%20of%20Sebastian%20Leerse%20and%20his%20wife%20and%20son%2032683.jpg?width=400,wikidata_55,Sebastiaan Leerse with his wife and son,Anthony van Dyck,Painting,1630,,oil paint,group portrait,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Paul%20Rubens%20-%20The%20Martyrdom%20of%20St%20Stephen%20-%20WGA20224.jpg?width=400,wikidata_56,Martyrdom of Saint Stephen (central panel),Peter Paul Rubens,Painting,1616,,oil paint,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20fugger%20by%20hans%20maler.jpg?width=400,wikidata_57,Portrait of Anton Fugger,Hans Maler zu Schwaz,Painting,1514,,oil paint,portrait,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Bassano%20-%20The%20Martyrdom%20of%20St%20Sebastian.jpg?width=400,wikidata_58,The Martyrdom of Saint Sebastian,Jacopo Bassano,Painting,1574,,oil paint,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%A9sus%20gu%C3%A9rissant%20les%20malades.jpg?width=400,wikidata_59,Q63213251,Alexandre Ubeleski,Painting,1691,,Unknown,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Rubens%20-%20Christ%20triumphant%20over%20sin%20and%20death%2C%20GE%20270.jpg?width=400,wikidata_60,"Christ triumphant over Sin, Death, and the Grave",Peter Paul Rubens,Painting,1618,,oil paint,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Dyck%20-%20Estasi%20di%20sant%27Agostino%20di%20Ippona%2C%201628.jpg?width=400,wikidata_61,St Augustine in Ecstasy,Anthony van Dyck,Painting,1628,,oil paint,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Adriaen%20van%20de%20Werff%20-%20Samson%20and%20Delilah%2C%20Sanssouci.jpg?width=400,wikidata_62,Samson and Delilah,Adriaen van der Werff,Painting,1720,,oil paint,religious art,painting
